product_id,category_id,bounding_box,occlusion,viewpoint,zoom-in,image,pattern,color
P00154,11,"[0, 44, 467, 624]",1,1,2,000154.jpg,plain,Gray
P00155,11,"[151, 178, 376, 621]",2,2,1,000155.jpg,plain,Charcoal
P00156,11,"[159, 149, 467, 623]",1,3,2,000156.jpg,printed,Rust
P00157,11,"[112, 0, 466, 623]",1,1,3,000157.jpg,plain,Charcoal
P00158,11,"[0, 36, 467, 624]",1,2,2,000158.jpg,printed,Gray
P00159,11,"[29, 0, 381, 567]",1,2,2,000159.jpg,plain,Charcoal
P00160,11,"[117, 30, 333, 347]",2,2,1,000160.jpg,printed,Brown
P00161,11,"[335, 26, 566, 312]",1,3,1,000161.jpg,plain,Silver
P00162,11,"[500, 29, 690, 284]",2,3,1,000162.jpg,plain,Gray
P00163,11,"[111, 39, 363, 377]",2,3,1,000163.jpg,plain,Gray
P00164,11,"[0, 56, 417, 588]",2,2,2,000164.jpg,plain,Gray
P00165,11,"[355, 28, 504, 263]",2,3,1,000165.jpg,plain,Charcoal
P00166,11,"[124, 203, 412, 665]",2,2,1,000166.jpg,plain,Silver
P00167,11,"[85, 65, 404, 591]",1,2,1,000167.jpg,plain,Charcoal
P00168,11,"[36, 246, 364, 659]",2,3,1,000168.jpg,plain,Gray
P00169,11,"[498, 29, 717, 303]",3,2,1,000169.jpg,plain,Silver
P00170,11,"[309, 20, 567, 273]",1,2,1,000170.jpg,plain,Bronze
P00171,11,"[0, 42, 464, 641]",3,2,2,000171.jpg,printed,Silver
P00172,11,"[373, 126, 551, 332]",2,3,1,000172.jpg,plain,Charcoal
P00173,11,"[316, 7, 576, 292]",3,2,1,000173.jpg,printed,Silver
P00179,7,"[27, 45, 432, 623]",1,1,2,000179.jpg,printed,Gray
P00184,1,"[0, 0, 467, 467]",1,1,3,000184.jpg,plain,Gray
P00197,0,"[1, 26, 221, 313]",1,1,3,000197.jpg,printed,Gray
P00216,10,"[59, 244, 362, 723]",2,2,1,000216.jpg,plain,Gray
P00217,10,"[0, 102, 383, 566]",1,1,2,000217.jpg,plain,Gray
P00218,10,"[0, 57, 467, 623]",1,1,2,000218.jpg,printed,Silver
P00219,10,"[0, 0, 359, 625]",2,3,2,000219.jpg,plain,Charcoal
P00220,10,"[2, 52, 467, 589]",1,1,2,000220.jpg,plain,Charcoal
P00221,10,"[0, 2, 359, 591]",1,2,2,000221.jpg,plain,Gray
P00222,10,"[0, 0, 467, 601]",1,1,3,000222.jpg,plain,Silver
P00223,10,"[9, 0, 430, 623]",1,1,2,000223.jpg,plain,Charcoal
P00224,10,"[152, 0, 378, 350]",1,2,1,000224.jpg,plain,Gray
P00225,10,"[0, 133, 467, 739]",1,1,2,000225.jpg,printed,Gray
P00226,10,"[0, 0, 467, 623]",1,2,2,000226.jpg,plain,Silver
P00227,10,"[0, 223, 466, 825]",2,2,2,000227.jpg,plain,Gray
P00228,10,"[187, 194, 423, 629]",2,2,1,000228.jpg,plain,Silver
P00229,10,"[60, 311, 551, 943]",2,3,1,000229.jpg,printed,Silver
P00230,10,"[96, 131, 523, 635]",1,2,1,000230.jpg,printed,Gray
P00231,10,"[308, 234, 508, 557]",2,2,1,000231.jpg,plain,Silver
P00232,10,"[136, 156, 320, 465]",2,2,1,000232.jpg,printed,Silver
P00233,10,"[226, 83, 390, 332]",1,2,1,000233.jpg,plain,Silver
P00234,10,"[12, 163, 464, 698]",1,2,1,000234.jpg,plain,Silver
P00235,1,"[2, 0, 466, 625]",2,2,3,000235.jpg,plain,Gray
P00236,1,"[2, 1, 467, 348]",1,2,3,000236.jpg,printed,Gray
P00237,1,"[0, 4, 466, 625]",2,2,3,000237.jpg,plain,Gray
P00238,1,"[2, 6, 467, 626]",1,1,2,000238.jpg,plain,Gray
P00239,1,"[2, 81, 467, 626]",1,1,2,000239.jpg,plain,Gray
P00250,1,"[0, 0, 462, 623]",1,3,2,000250.jpg,printed,Gray
P00251,1,"[9, 125, 429, 605]",1,2,1,000251.jpg,plain,Silver
P00255,10,"[0, 56, 284, 373]",1,1,2,000255.jpg,plain,Silver
P00256,10,"[231, 210, 539, 728]",2,2,1,000256.jpg,printed,Silver
P00257,10,"[314, 185, 488, 503]",2,2,1,000257.jpg,plain,Silver
P00258,10,"[58, 157, 410, 654]",1,2,1,000258.jpg,plain,Silver
P00259,10,"[122, 133, 361, 477]",1,2,1,000259.jpg,plain,Silver
P00260,10,"[174, 55, 638, 743]",1,2,1,000260.jpg,plain,Silver
P00261,10,"[278, 163, 482, 502]",2,2,1,000261.jpg,plain,Silver
P00262,10,"[64, 0, 748, 749]",2,2,2,000262.jpg,plain,Silver
P00263,10,"[117, 2, 749, 749]",1,2,2,000263.jpg,printed,Silver
P00264,10,"[103, 80, 704, 749]",1,2,2,000264.jpg,plain,Silver
P00265,10,"[178, 62, 599, 748]",2,2,1,000265.jpg,plain,Silver
P00266,10,"[263, 244, 558, 740]",2,2,1,000266.jpg,plain,Silver
P00267,10,"[108, 0, 651, 749]",1,3,2,000267.jpg,plain,Silver
P00268,10,"[235, 100, 638, 748]",2,2,1,000268.jpg,printed,Silver
P00269,10,"[28, 1, 748, 748]",2,2,2,000269.jpg,plain,Silver
P00270,10,"[251, 211, 607, 748]",2,2,1,000270.jpg,plain,Silver
P00271,10,"[225, 191, 531, 651]",2,2,1,000271.jpg,plain,Silver
P00272,10,"[103, 64, 662, 745]",1,2,1,000272.jpg,printed,Silver
P00273,10,"[186, 53, 620, 745]",2,2,1,000273.jpg,plain,Silver
P00274,10,"[90, 185, 391, 635]",1,2,1,000274.jpg,printed,Silver
P00275,10,"[2, 0, 748, 748]",1,2,2,000275.jpg,plain,Silver
P00276,10,"[284, 182, 484, 496]",2,2,1,000276.jpg,plain,Silver
P00277,10,"[98, 170, 378, 593]",2,2,1,000277.jpg,plain,Silver
P00280,9,"[301, 212, 534, 564]",1,2,1,000280.jpg,plain,Silver
P00282,9,"[184, 188, 578, 584]",1,2,2,000282.jpg,printed,Silver
P00283,9,"[181, 170, 578, 584]",1,2,2,000283.jpg,plain,Gray
P00284,9,"[184, 434, 649, 1310]",1,2,1,000284.jpg,plain,Silver
P00290,9,"[53, 119, 416, 672]",1,2,1,000290.jpg,plain,Silver
P00295,9,"[255, 142, 599, 584]",2,2,2,000295.jpg,plain,Gray
P00297,9,"[186, 106, 500, 537]",1,2,1,000297.jpg,plain,Silver
P00299,9,"[210, 115, 552, 584]",1,2,2,000299.jpg,plain,Gray
P00300,9,"[199, 199, 540, 584]",1,2,2,000300.jpg,plain,Silver
P00301,0,"[32, 2, 623, 467]",1,1,3,000301.jpg,plain,Silver
P00302,0,"[12, 3, 623, 467]",1,1,3,000302.jpg,plain,Silver
P00303,0,"[0, 270, 347, 630]",2,3,2,000303.jpg,plain,Silver
P00304,0,"[1, 2, 465, 572]",1,1,3,000304.jpg,printed,Gray
P00305,0,"[1, 2, 466, 623]",2,1,2,000305.jpg,plain,Tan
P00306,0,"[1, 34, 465, 624]",1,1,2,000306.jpg,printed,Gray
P00307,0,"[1, 2, 623, 467]",1,1,3,000307.jpg,plain,Silver
P00308,0,"[1, 143, 466, 578]",1,1,1,000308.jpg,plain,Silver
P00311,0,"[1, 253, 466, 701]",2,2,2,000311.jpg,printed,Gray
P00313,0,"[70, 371, 648, 887]",2,2,2,000313.jpg,printed,Gray
P00316,7,"[21, 87, 349, 467]",1,1,1,000316.jpg,printed,Gray
P00320,7,"[63, 1, 341, 492]",2,2,1,000320.jpg,plain,Gray
P00330,6,"[0, 70, 463, 350]",1,1,2,000330.jpg,plain,Charcoal
P00331,6,"[15, 77, 447, 539]",1,2,1,000331.jpg,plain,Pink
P00333,6,"[39, 106, 421, 580]",1,2,1,000333.jpg,plain,Lavender
P00334,6,"[11, 89, 455, 582]",1,2,1,000334.jpg,plain,Charcoal
P00338,3,"[249, 72, 423, 450]",2,2,1,000338.jpg,plain,Gray
P00354,0,"[0, 0, 466, 623]",1,1,3,000354.jpg,printed,Charcoal
P00356,0,"[1, 101, 466, 516]",1,1,2,000356.jpg,printed,Charcoal
P00358,0,"[0, 0, 466, 623]",1,2,3,000358.jpg,printed,Charcoal
P00359,0,"[0, 187, 466, 561]",1,1,2,000359.jpg,printed,Charcoal
P00361,0,"[0, 152, 466, 565]",1,1,2,000361.jpg,printed,Charcoal
P00362,0,"[0, 0, 466, 623]",1,1,3,000362.jpg,printed,Charcoal
P00364,0,"[0, 24, 466, 495]",1,1,2,000364.jpg,printed,Charcoal
P00365,0,"[0, 187, 466, 623]",1,2,2,000365.jpg,printed,Charcoal
P00366,0,"[0, 92, 466, 541]",1,1,3,000366.jpg,printed,Charcoal
P00370,0,"[0, 108, 466, 559]",1,1,2,000370.jpg,printed,Charcoal
P00371,0,"[0, 37, 420, 504]",1,1,2,000371.jpg,printed,Charcoal
P00393,6,"[23, 49, 406, 623]",1,1,2,000393.jpg,plain,Charcoal
P00394,6,"[4, 5, 467, 566]",1,2,2,000394.jpg,plain,Gray
P00407,6,"[192, 14, 472, 447]",2,2,1,000407.jpg,plain,Charcoal
P00409,6,"[218, 17, 451, 421]",2,2,1,000409.jpg,plain,Gray
P00416,9,"[31, 143, 466, 621]",1,2,2,000416.jpg,plain,Charcoal
P00417,9,"[30, 33, 345, 396]",2,2,2,000417.jpg,plain,Charcoal
P00418,9,"[1, 174, 465, 620]",1,2,2,000418.jpg,plain,Charcoal
P00419,9,"[8, 252, 467, 620]",1,2,2,000419.jpg,printed,Charcoal
P00420,9,"[93, 15, 393, 596]",2,2,1,000420.jpg,plain,Gray
P00421,9,"[188, 8, 420, 551]",1,2,1,000421.jpg,plain,Gray
P00422,9,"[259, 0, 414, 540]",2,2,1,000422.jpg,plain,Silver
P00423,9,"[85, 9, 526, 639]",2,2,2,000423.jpg,printed,Tan
P00424,9,"[182, 24, 543, 639]",2,2,2,000424.jpg,plain,Tan
P00425,9,"[102, 13, 384, 586]",2,2,1,000425.jpg,plain,Silver
P00426,0,"[3, 2, 434, 256]",1,1,1,000426.jpg,plain,Gray
P00427,0,"[0, 14, 410, 261]",1,1,2,000427.jpg,plain,Gray
P00429,0,"[0, 26, 451, 467]",1,1,2,000429.jpg,printed,Gray
P00430,0,"[1, 138, 466, 607]",1,1,2,000430.jpg,plain,Gray
P00431,0,"[27, 53, 451, 266]",1,1,1,000431.jpg,plain,Gray
P00433,0,"[1, 132, 466, 623]",1,2,2,000433.jpg,plain,Silver
P00434,0,"[0, 34, 466, 623]",1,1,2,000434.jpg,plain,Gray
P00435,0,"[21, 120, 466, 623]",1,1,2,000435.jpg,plain,Silver
P00436,0,"[0, 116, 466, 623]",1,1,2,000436.jpg,plain,Gray
P00437,0,"[0, 65, 464, 623]",1,2,2,000437.jpg,plain,Silver
P00438,0,"[1, 1, 466, 588]",1,1,2,000438.jpg,plain,Silver
P00440,0,"[0, 6, 460, 623]",1,1,2,000440.jpg,plain,Tan
P00450,9,"[114, 157, 285, 413]",1,2,1,000450.jpg,plain,Gray
P00451,9,"[301, 529, 557, 919]",1,2,1,000451.jpg,plain,Silver
P00452,9,"[256, 564, 664, 1176]",1,2,1,000452.jpg,plain,Gray
P00453,9,"[101, 103, 358, 455]",1,2,1,000453.jpg,plain,Silver
P00454,9,"[324, 535, 548, 932]",1,2,1,000454.jpg,plain,Silver
P00455,9,"[263, 554, 627, 1170]",1,2,1,000455.jpg,plain,Gray
P00456,9,"[283, 477, 563, 955]",1,3,1,000456.jpg,plain,Silver
P00457,9,"[250, 554, 573, 1173]",2,2,1,000457.jpg,plain,Tan
P00458,9,"[260, 478, 595, 929]",1,2,1,000458.jpg,plain,Silver
P00459,9,"[83, 134, 395, 649]",1,1,1,000459.jpg,plain,Charcoal
P00460,9,"[267, 590, 592, 1210]",1,2,1,000460.jpg,plain,Tan
P00461,9,"[244, 554, 635, 1160]",1,2,1,000461.jpg,plain,Gray
P00462,7,"[0, 15, 467, 407]",2,2,2,000462.jpg,plain,Gray
P00463,7,"[0, 0, 431, 529]",1,2,2,000463.jpg,plain,Silver
P00464,7,"[2, 0, 590, 719]",1,2,2,000464.jpg,plain,Silver
P00467,7,"[1, 19, 378, 625]",1,2,1,000467.jpg,plain,Charcoal
P00473,7,"[66, 9, 448, 580]",2,2,1,000473.jpg,plain,Tan
P00475,7,"[0, 102, 467, 622]",1,2,2,000475.jpg,plain,Gray
P00484,6,"[37, 0, 437, 304]",1,2,2,000484.jpg,plain,Charcoal
P00486,6,"[135, 32, 324, 214]",1,2,1,000486.jpg,plain,Silver
P00488,6,"[132, 38, 335, 220]",1,2,1,000488.jpg,printed,Coral
P00492,6,"[75, 40, 689, 474]",1,1,1,000492.jpg,plain,Charcoal
P00494,6,"[99, 129, 410, 494]",1,2,1,000494.jpg,plain,Charcoal
P00500,3,"[97, 0, 467, 466]",1,2,2,000500.jpg,printed,Gray
P00501,3,"[1, 1, 419, 467]",1,2,3,000501.jpg,plain,Gray
P00502,3,"[99, 0, 462, 467]",1,2,2,000502.jpg,printed,Gray
P00503,3,"[0, 0, 467, 467]",1,2,3,000503.jpg,plain,Gray
P00508,11,"[29, 2, 448, 783]",2,2,2,000508.jpg,printed,Gray
P00509,11,"[2, 133, 446, 863]",1,1,2,000509.jpg,plain,Gray
P00510,11,"[80, 80, 374, 828]",2,2,1,000510.jpg,printed,Gray
P00511,11,"[52, 36, 355, 893]",2,2,1,000511.jpg,printed,Gray
P00512,11,"[63, 0, 346, 717]",1,2,2,000512.jpg,printed,Gray
P00513,11,"[146, 3, 333, 637]",2,2,1,000513.jpg,printed,Silver
P00514,11,"[116, 229, 498, 556]",2,3,1,000514.jpg,printed,Pink
P00515,11,"[209, 142, 573, 582]",2,2,1,000515.jpg,printed,Tan
P00516,11,"[196, 69, 553, 636]",1,2,3,000516.jpg,printed,Silver
P00517,11,"[149, 143, 352, 607]",1,2,1,000517.jpg,printed,Silver
P00518,11,"[319, 135, 474, 596]",2,3,1,000518.jpg,printed,Tan
P00519,11,"[172, 452, 570, 889]",1,2,1,000519.jpg,printed,Tan
P00520,11,"[216, 116, 384, 501]",1,2,1,000520.jpg,printed,Silver
P00521,11,"[107, 169, 564, 738]",2,3,2,000521.jpg,plain,Silver
P00522,11,"[280, 130, 543, 567]",2,3,2,000522.jpg,printed,Silver
P00523,11,"[219, 342, 485, 900]",2,2,2,000523.jpg,plain,Lavender
P00524,11,"[340, 77, 705, 548]",2,2,2,000524.jpg,printed,Silver
P00534,7,"[110, 35, 345, 586]",2,2,1,000534.jpg,plain,Charcoal
P00535,7,"[39, 1, 467, 630]",1,2,3,000535.jpg,plain,Gray
P00543,7,"[279, 1, 1076, 751]",1,2,2,000543.jpg,plain,Gray
P00544,7,"[280, 3, 1138, 623]",1,2,1,000544.jpg,plain,Gray
P00545,7,"[0, 0, 467, 548]",1,2,2,000545.jpg,plain,Charcoal
P00550,7,"[135, 81, 366, 617]",1,2,1,000550.jpg,plain,Charcoal
P00556,4,"[63, 220, 392, 512]",1,2,2,000556.jpg,plain,Tan
P00566,1,"[28, 137, 466, 623]",1,3,2,000566.jpg,printed,Gray
P00567,1,"[0, 123, 466, 623]",2,2,2,000567.jpg,printed,Gray
P00568,1,"[2, 124, 386, 623]",2,2,2,000568.jpg,printed,Gray
P00587,1,"[100, 373, 462, 908]",3,3,1,000587.jpg,printed,Gray
P00588,1,"[80, 100, 426, 531]",1,1,1,000588.jpg,plain,Gray
P00589,1,"[81, 100, 371, 471]",1,1,1,000589.jpg,printed,Gray
P00598,1,"[339, 148, 553, 435]",3,3,1,000598.jpg,printed,Gray
P00607,6,"[2, 88, 467, 567]",1,1,2,000607.jpg,plain,Charcoal
P00614,6,"[57, 30, 570, 613]",2,2,1,000614.jpg,printed,Tan
P00616,6,"[140, 7, 697, 619]",2,2,1,000616.jpg,printed,Gray
P00619,6,"[79, 11, 366, 292]",1,2,1,000619.jpg,plain,Gray
P00624,6,"[6, 6, 445, 414]",1,2,2,000624.jpg,printed,Gray
P00625,3,"[0, 55, 467, 623]",1,1,2,000625.jpg,plain,Gray
P00626,3,"[0, 104, 467, 606]",1,1,2,000626.jpg,plain,Gray
P00686,7,"[30, 1, 467, 414]",1,2,2,000686.jpg,plain,Charcoal
P00688,7,"[206, 40, 488, 683]",1,2,1,000688.jpg,plain,Charcoal
P00690,7,"[202, 13, 488, 846]",1,2,1,000690.jpg,plain,Charcoal
P00693,7,"[132, 0, 354, 551]",1,2,2,000693.jpg,plain,Charcoal
P00711,10,"[1, 42, 466, 597]",1,1,2,000711.jpg,plain,Charcoal
P00712,10,"[228, 179, 447, 475]",1,3,2,000712.jpg,plain,Silver
P00713,10,"[220, 259, 426, 547]",1,2,1,000713.jpg,printed,Silver
P00714,10,"[221, 270, 418, 564]",1,2,1,000714.jpg,printed,Silver
P00715,10,"[97, 208, 392, 639]",1,2,1,000715.jpg,plain,Silver
P00716,10,"[220, 205, 433, 551]",1,2,1,000716.jpg,plain,Charcoal
P00717,10,"[127, 229, 364, 605]",1,2,1,000717.jpg,plain,Charcoal
P00718,10,"[83, 231, 392, 683]",1,2,1,000718.jpg,plain,Silver
P00719,10,"[193, 178, 402, 513]",1,2,1,000719.jpg,plain,Charcoal
P00720,10,"[246, 331, 441, 597]",2,2,1,000720.jpg,printed,Gray
P00722,3,"[17, 46, 467, 578]",1,1,2,000722.jpg,printed,Gray
P00724,1,"[1, 19, 466, 740]",1,2,2,000724.jpg,plain,Gray
P00725,1,"[1, 0, 467, 623]",1,2,3,000725.jpg,plain,Gray
P00726,1,"[0, 73, 466, 621]",1,2,3,000726.jpg,plain,Gray
P00727,1,"[0, 6, 467, 579]",1,1,2,000727.jpg,printed,Silver
P00728,3,"[0, 0, 262, 467]",1,1,2,000728.jpg,plain,Gray
P00729,1,"[0, 0, 461, 416]",1,2,1,000729.jpg,plain,Gray
P00731,1,"[0, 287, 466, 831]",1,2,3,000731.jpg,plain,Gray
P00732,1,"[5, 74, 467, 623]",1,1,2,000732.jpg,printed,Gray
P00733,1,"[4, 5, 467, 618]",1,1,2,000733.jpg,plain,Tan
P00734,1,"[4, 0, 459, 489]",2,2,2,000734.jpg,plain,Gray
P00735,1,"[5, 246, 466, 822]",2,2,2,000735.jpg,plain,Charcoal
P00736,1,"[0, 164, 467, 623]",1,2,3,000736.jpg,plain,Gray
P00737,1,"[2, 46, 446, 511]",1,1,1,000737.jpg,plain,Gray
P00738,1,"[1, 273, 465, 829]",1,2,2,000738.jpg,plain,Gray
P00739,1,"[2, 22, 446, 566]",1,2,1,000739.jpg,plain,Tan
P00741,7,"[1, 1, 467, 620]",1,2,2,000741.jpg,plain,Charcoal
P00749,6,"[7, 50, 467, 402]",1,1,2,000749.jpg,plain,Gray
P00757,2,"[13, 105, 467, 623]",1,3,2,000757.jpg,printed,Gray
P00758,2,"[0, 129, 467, 623]",1,2,2,000758.jpg,plain,Gray
P00760,2,"[12, 265, 467, 623]",2,2,3,000760.jpg,plain,Tan
P00761,2,"[145, 278, 608, 884]",2,2,1,000761.jpg,plain,Silver
P00762,11,"[0, 252, 467, 769]",2,2,2,000762.jpg,printed,Gray
P00763,11,"[127, 100, 345, 512]",3,2,1,000763.jpg,plain,Gray
P00764,11,"[0, 0, 467, 776]",1,1,2,000764.jpg,printed,Gray
P00765,11,"[0, 0, 467, 785]",1,1,3,000765.jpg,printed,Gray
P00766,11,"[54, 0, 467, 710]",1,2,3,000766.jpg,printed,Gray
P00767,11,"[35, 181, 551, 743]",1,2,1,000767.jpg,printed,Gray
P00768,11,"[73, 238, 670, 732]",1,2,1,000768.jpg,printed,Gray
P00770,11,"[22, 104, 429, 445]",1,2,1,000770.jpg,printed,Gray
P00771,9,"[0, 90, 466, 623]",1,2,2,000771.jpg,plain,Charcoal
P00772,9,"[0, 135, 467, 467]",2,2,2,000772.jpg,printed,Gray
P00773,9,"[42, 97, 467, 467]",2,2,2,000773.jpg,plain,Bronze
P00774,9,"[0, 1, 466, 623]",1,2,3,000774.jpg,plain,Charcoal
P00775,9,"[198, 119, 425, 515]",2,2,1,000775.jpg,cartoon,Rust
P00776,9,"[225, 125, 394, 481]",1,2,1,000776.jpg,printed,Gray
P00777,9,"[177, 159, 680, 742]",2,2,1,000777.jpg,printed,Gray
P00778,9,"[413, 102, 649, 461]",2,2,1,000778.jpg,plain,Gray
P00779,9,"[97, 164, 389, 674]",2,2,1,000779.jpg,printed,Bronze
P00780,9,"[178, 123, 421, 513]",2,3,1,000780.jpg,plain,Gray
P00781,9,"[59, 173, 367, 697]",2,2,1,000781.jpg,plain,Gray
P00782,9,"[336, 145, 528, 447]",2,3,1,000782.jpg,plain,Gray
P00783,9,"[384, 337, 539, 566]",1,2,1,000783.jpg,printed,Brown
P00784,0,"[0, 75, 389, 420]",1,1,1,000784.jpg,plain,Olive
P00786,7,"[144, 38, 405, 405]",1,2,1,000786.jpg,plain,Gray
P00787,7,"[117, 33, 434, 608]",2,2,1,000787.jpg,printed,Gray
P00789,7,"[240, 3, 694, 476]",2,3,2,000789.jpg,printed,Gray
P00790,7,"[107, 14, 428, 488]",2,2,1,000790.jpg,printed,Tan
P00791,7,"[35, 50, 437, 520]",2,2,1,000791.jpg,printed,Gray
P00795,7,"[0, 59, 477, 590]",1,2,2,000795.jpg,printed,Gray
P00799,7,"[150, 13, 350, 526]",2,3,1,000799.jpg,printed,Gray
P00800,7,"[59, 18, 471, 509]",2,2,1,000800.jpg,printed,Gray
P00801,7,"[104, 1, 414, 558]",2,3,1,000801.jpg,printed,Gray
P00811,4,"[5, 53, 466, 623]",1,2,2,000811.jpg,plain,Tan
P00812,4,"[0, 56, 466, 812]",1,1,2,000812.jpg,plain,Gray
P00813,4,"[0, 27, 466, 590]",1,1,2,000813.jpg,plain,Gray
P00814,4,"[0, 210, 465, 624]",2,3,2,000814.jpg,plain,Silver
P00816,4,"[66, 0, 465, 624]",1,3,2,000816.jpg,plain,Tan
P00819,4,"[97, 333, 639, 959]",1,3,2,000819.jpg,plain,Silver
P00820,4,"[124, 252, 507, 746]",1,2,1,000820.jpg,plain,Silver
P00821,4,"[91, 341, 469, 910]",2,3,1,000821.jpg,plain,Silver
P00823,10,"[1, 0, 467, 623]",2,2,3,000823.jpg,plain,Gray
P00827,0,"[1, 245, 406, 623]",2,3,2,000827.jpg,plain,Silver
P00829,0,"[0, 21, 466, 557]",1,1,2,000829.jpg,printed,Gray
P00830,0,"[67, 220, 419, 559]",2,2,2,000830.jpg,plain,Tan
P00832,0,"[0, 0, 466, 623]",1,2,3,000832.jpg,plain,Gray
P00833,0,"[0, 47, 431, 566]",1,1,2,000833.jpg,plain,Gray
P00834,0,"[0, 0, 456, 559]",1,1,2,000834.jpg,plain,Gray
P00835,0,"[0, 65, 350, 421]",1,1,2,000835.jpg,plain,Gray
P00836,0,"[0, 267, 466, 623]",1,2,2,000836.jpg,plain,Silver
P00838,0,"[79, 234, 451, 623]",1,2,2,000838.jpg,plain,Tan
P00839,0,"[0, 55, 466, 579]",1,1,2,000839.jpg,plain,Silver
P00841,0,"[132, 227, 466, 623]",2,2,3,000841.jpg,printed,Gray
P00843,0,"[129, 90, 464, 824]",1,2,3,000843.jpg,plain,Silver
P00844,0,"[29, 41, 434, 611]",1,1,1,000844.jpg,plain,Gray
P00846,0,"[0, 0, 466, 619]",1,1,3,000846.jpg,plain,Gray
P00847,0,"[0, 0, 466, 620]",1,1,3,000847.jpg,plain,Silver
P00848,0,"[0, 300, 466, 623]",1,3,3,000848.jpg,plain,Gray
P00849,0,"[135, 0, 522, 516]",1,2,2,000849.jpg,plain,Gray
P00850,0,"[265, 0, 638, 404]",1,3,2,000850.jpg,plain,Silver
P00852,0,"[235, 1, 457, 307]",1,2,2,000852.jpg,plain,Silver
P00855,0,"[152, 0, 570, 573]",1,2,2,000855.jpg,plain,Silver
P00856,0,"[120, 0, 516, 531]",2,2,2,000856.jpg,plain,Charcoal
P00857,0,"[34, 0, 465, 614]",1,2,2,000857.jpg,plain,Silver
P00858,0,"[55, 1, 597, 523]",2,2,2,000858.jpg,plain,Tan
P00860,0,"[176, 1, 574, 559]",1,2,2,000860.jpg,plain,Silver
P00862,0,"[22, 1, 436, 568]",2,2,2,000862.jpg,plain,Gray
P00864,1,"[17, 128, 467, 480]",1,1,2,000864.jpg,plain,Gray
P00865,3,"[0, 67, 466, 494]",1,1,2,000865.jpg,plain,Gray
P00867,1,"[1, 2, 410, 623]",1,2,2,000867.jpg,plain,Gray
